rank,province,area,weekly_observed_periods,weekly_total_periods,weekly_observation_rows,weekly_coverage_pct,monthly_observed_periods,monthly_total_periods,monthly_observation_rows,monthly_coverage_pct,raw_price_rows,first_observed_date,last_observed_date,sources
1,Lam Dong,Di Linh,198,210,712,94.3,48,48,712,100.0,712,2022-01-06,2025-12-30,"Bao Da Nang, Bao Moi, Bao Nghe An, Bao Nong nghiep va Moi truong, Cong Thuong, HomeUp, Kamereo, Vinanet, VnBusiness"
2,Gia Lai,Pleiku,198,210,673,94.3,48,48,673,100.0,673,2022-01-06,2025-12-30,"Bao Da Nang, Bao Moi, Bao Nghe An, Bao Nong nghiep va Moi truong, Cong Thuong, HomeUp, Kamereo, Thuong Hieu Cong Luan, Vinanet, VnBusiness"
3,Dak Lak,Ea H'leo,197,210,692,93.8,48,48,692,100.0,692,2022-01-06,2025-12-29,"Bao Da Nang, Bao Moi, Bao Nghe An, Bao Nong nghiep va Moi truong, Cong Thuong, HomeUp, Kamereo, Vinanet, VnBusiness"
4,Dak Lak,Buon Ho,197,210,684,93.8,48,48,684,100.0,684,2022-01-06,2025-12-29,"Bao Da Nang, Bao Moi, Bao Nghe An, Bao Nong nghiep va Moi truong, Cong Thuong, HomeUp, Kamereo, Vinanet, VnBusiness"
5,Lam Dong,Bao Loc,197,210,673,93.8,48,48,673,100.0,673,2022-01-06,2025-12-30,"Bao Da Nang, Bao Moi, Bao Nghe An, Bao Nong nghiep va Moi truong, Cong Thuong, HomeUp, Kamereo, Vinanet, VnBusiness"
6,Lam Dong,Lam Ha,197,210,673,93.8,48,48,673,100.0,673,2022-01-06,2025-12-30,"Bao Da Nang, Bao Moi, Bao Nghe An, Bao Nong nghiep va Moi truong, Cong Thuong, HomeUp, Kamereo, Vinanet, VnBusiness"
7,Kon Tum,Kon Tum,194,210,506,92.4,48,48,506,100.0,506,2022-01-06,2025-12-30,"Bao Da Nang, Bao Moi, Bao Nghe An, Bao Nong nghiep va Moi truong, Cong Thuong, HomeUp, Kamereo, Vinanet, VnBusiness"
8,Gia Lai,Ia Grai,189,210,509,90.0,48,48,509,100.0,509,2022-01-06,2025-12-29,"Bao Da Nang, Bao Moi, Bao Nghe An, Cong Thuong, HomeUp, Kamereo, Vinanet, VnBusiness"
9,Dak Lak,Cu M'gar,88,210,203,41.9,38,48,203,79.2,203,2022-11-15,2025-12-29,"Bao Da Nang, Bao Nghe An, Bao Nong nghiep va Moi truong, Vinanet"
10,Dak Nong,Gia Nghia,88,210,203,41.9,38,48,203,79.2,203,2022-11-15,2025-12-29,"Bao Da Nang, Bao Nghe An, Bao Nong nghiep va Moi truong, Vinanet"
11,Gia Lai,Chu Prong,88,210,203,41.9,38,48,203,79.2,203,2022-11-15,2025-12-29,"Bao Da Nang, Bao Nghe An, Bao Nong nghiep va Moi truong, Vinanet"
12,Dak Nong,Dak R'lap,0,210,0,0.0,0,48,0,0.0,0,,,
