period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Dak Lak,Buon Ho,Robusta / ca phe nhan xo noi dia,31150,,0,interpolated_area,20.06,83.4,0.1,0.238,Dat do bazan,5,medium,0,
2020-01-01,2020-01-05,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,22.42,73.4,0.0,0.217,Dat do bazan,5,high,0,
2020-01-01,2020-01-05,Dak Lak,Ea H'leo,Robusta / ca phe nhan xo noi dia,31033,,0,interpolated_area,20.98,77.8,0.4,0.255,Dat do bazan,5,medium,0,
2020-01-01,2020-01-05,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.12,70.8,0.0,0.323,Dat do bazan,4,low,0,
2020-01-01,2020-01-05,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,21.8,71.6,0.0,0.245,Dat do bazan,4,low,0,
2020-01-01,2020-01-05,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.46,64.0,0.0,0.202,Dat do bazan,4,low,0,
2020-01-01,2020-01-05,Gia Lai,Ia Grai,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,24.88,59.4,0.0,0.248,Dat do bazan,4,low,0,
2020-01-01,2020-01-05,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,20.92,70.2,0.0,0.263,Dat do bazan,4,low,0,
2020-01-01,2020-01-05,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,21.8,69.2,0.0,0.247,Dat do vang / dat bazan cuc bo,3,low,0,
2020-01-01,2020-01-05,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.38,75.0,0.0,0.273,Dat do vang tren bazan,4,low,0,
2020-01-01,2020-01-05,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.58,66.6,0.0,0.217,Dat do vang tren bazan,4,medium,0,
2020-01-01,2020-01-05,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.04,70.0,0.0,0.279,Dat do vang tren bazan,4,low,0,
2020-01-06,2020-01-12,Dak Lak,Buon Ho,Robusta / ca phe nhan xo noi dia,31150,,0,interpolated_area,20.5,84.429,0.6,0.224,Dat do bazan,5,medium,0,
2020-01-06,2020-01-12,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,23.0,73.714,0.0,0.216,Dat do bazan,5,high,0,
2020-01-06,2020-01-12,Dak Lak,Ea H'leo,Robusta / ca phe nhan xo noi dia,31033,,0,interpolated_area,21.7,76.571,0.2,0.247,Dat do bazan,5,medium,0,
2020-01-06,2020-01-12,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.9,71.286,1.1,0.32,Dat do bazan,4,low,0,
