period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2022-01-01,2022-01-02,Dak Lak,Buon Ho,Robusta / ca phe nhan xo noi dia,40850,,0,interpolated_area,19.75,85.5,1.0,0.324,Dat do bazan,5,medium
2022-01-01,2022-01-02,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,40850,,0,interpolated_area,22.05,75.0,0.0,0.258,Dat do bazan,5,high
2022-01-01,2022-01-02,Dak Lak,Ea H'leo,Robusta / ca phe nhan xo noi dia,40850,,0,interpolated_area,20.1,83.5,1.1,0.396,Dat do bazan,5,medium
2022-01-01,2022-01-02,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,22.05,72.0,0.0,0.348,Dat do bazan,4,low
2022-01-01,2022-01-02,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,21.4,75.5,0.0,0.316,Dat do bazan,4,low
2022-01-01,2022-01-02,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,40800,,0,interpolated_area,22.85,65.5,0.0,0.222,Dat do bazan,4,low
2022-01-01,2022-01-02,Gia Lai,Ia Grai,Robusta / ca phe nhan xo noi dia,40800,,0,interpolated_area,24.05,62.5,0.0,0.312,Dat do bazan,4,low
2022-01-01,2022-01-02,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,40800,,0,interpolated_area,20.25,72.5,0.0,0.289,Dat do bazan,4,low
2022-01-01,2022-01-02,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40800,,0,interpolated_area,21.3,71.5,0.0,0.292,Dat do vang / dat bazan cuc bo,3,low
2022-01-01,2022-01-02,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,20.25,80.0,0.6,0.306,Dat do vang tren bazan,4,low
2022-01-01,2022-01-02,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,20.05,72.0,0.0,0.29,Dat do vang tren bazan,4,medium
2022-01-01,2022-01-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,20.45,73.5,0.0,0.287,Dat do vang tren bazan,4,low
2022-01-03,2022-01-09,Dak Lak,Buon Ho,Robusta / ca phe nhan xo noi dia,40850,40850.0,2,observed,20.143,86.571,2.3,0.294,Dat do bazan,5,medium
2022-01-03,2022-01-09,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,40850,,0,province_proxy,22.529,76.143,1.0,0.238,Dat do bazan,5,high
2022-01-03,2022-01-09,Dak Lak,Ea H'leo,Robusta / ca phe nhan xo noi dia,40850,40850.0,2,observed,20.857,82.429,2.3,0.359,Dat do bazan,5,medium
2022-01-03,2022-01-09,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,22.143,75.857,6.1,0.371,Dat do bazan,4,low
2022-01-03,2022-01-09,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,21.7,76.857,6.3,0.308,Dat do bazan,4,low
2022-01-03,2022-01-09,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,40800,,0,province_proxy,23.643,65.571,6.5,0.216,Dat do bazan,4,low
2022-01-03,2022-01-09,Gia Lai,Ia Grai,Robusta / ca phe nhan xo noi dia,40800,40800.0,2,observed,24.757,62.571,2.9,0.29,Dat do bazan,4,low
2022-01-03,2022-01-09,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,40800,40800.0,2,observed,20.929,72.857,4.4,0.285,Dat do bazan,4,low
2022-01-03,2022-01-09,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40800,40800.0,2,observed,21.729,71.714,0.8,0.272,Dat do vang / dat bazan cuc bo,3,low
2022-01-03,2022-01-09,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,20.214,82.571,23.0,0.343,Dat do vang tren bazan,4,low
2022-01-03,2022-01-09,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,20.157,80.0,23.2,0.388,Dat do vang tren bazan,4,medium
2022-01-03,2022-01-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,19.786,80.143,17.0,0.366,Dat do vang tren bazan,4,low
2022-01-10,2022-01-16,Dak Lak,Buon Ho,Robusta / ca phe nhan xo noi dia,40567,,0,interpolated_area,19.514,83.143,0.4,0.245,Dat do bazan,5,medium
