period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.38,75.0,0.0,0.273,Dat do vang tren bazan,4,low,0,
2020-01-06,2020-01-12,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.414,74.429,1.0,0.265,Dat do vang tren bazan,4,low,0,
2020-01-13,2020-01-19,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.114,70.571,3.0,0.247,Dat do vang tren bazan,4,low,0,
2020-01-20,2020-01-26,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.014,67.286,0.0,0.243,Dat do vang tren bazan,4,low,0,
2020-01-27,2020-02-02,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.3,68.857,0.4,0.243,Dat do vang tren bazan,4,low,0,
2020-02-03,2020-02-09,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.229,61.0,3.6,0.244,Dat do vang tren bazan,4,low,0,
2020-02-10,2020-02-16,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.786,72.429,2.0,0.262,Dat do vang tren bazan,4,low,0,
2020-02-17,2020-02-23,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.514,67.429,1.0,0.27,Dat do vang tren bazan,4,low,0,
2020-02-24,2020-03-01,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.743,60.857,0.0,0.25,Dat do vang tren bazan,4,low,0,
2020-03-02,2020-03-08,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.214,72.286,11.0,0.272,Dat do vang tren bazan,4,low,0,
2020-03-09,2020-03-15,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.843,71.143,1.5,0.287,Dat do vang tren bazan,4,low,0,
2020-03-16,2020-03-22,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.143,65.571,0.3,0.253,Dat do vang tren bazan,4,low,0,
2020-03-23,2020-03-29,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.3,73.714,6.9,0.259,Dat do vang tren bazan,4,low,0,
2020-03-30,2020-04-05,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,24.143,69.0,0.7,0.275,Dat do vang tren bazan,4,low,0,
2020-04-06,2020-04-12,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.886,84.571,116.3,0.405,Dat do vang tren bazan,4,low,0,
2020-04-13,2020-04-19,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.3,85.857,38.5,0.466,Dat do vang tren bazan,4,low,0,
2020-04-20,2020-04-26,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.3,80.571,7.0,0.35,Dat do vang tren bazan,4,low,0,
2020-04-27,2020-05-03,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.571,74.143,3.1,0.304,Dat do vang tren bazan,4,low,0,
2020-05-04,2020-05-10,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,24.671,80.0,4.4,0.305,Dat do vang tren bazan,4,low,0,
2020-05-11,2020-05-17,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,24.2,80.143,19.9,0.311,Dat do vang tren bazan,4,low,0,
2020-05-18,2020-05-24,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.871,88.286,41.2,0.392,Dat do vang tren bazan,4,low,0,
2020-05-25,2020-05-31,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.614,86.571,33.7,0.424,Dat do vang tren bazan,4,low,0,
2020-06-01,2020-06-07,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.029,89.0,43.0,0.449,Dat do vang tren bazan,4,low,0,
2020-06-08,2020-06-14,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,31700.0,1,observed,22.8,90.429,67.1,0.452,Dat do vang tren bazan,4,low,1,Nong Nghiep Moi Truong
2020-06-15,2020-06-21,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,30500,30500.0,3,observed,22.714,89.286,63.5,0.483,Dat do vang tren bazan,4,low,3,Nong Nghiep Moi Truong
2020-06-22,2020-06-28,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,30600,,0,interpolated_area,22.471,90.0,45.7,0.473,Dat do vang tren bazan,4,low,0,
2020-06-29,2020-07-05,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,30700,,0,interpolated_area,21.514,92.714,139.4,0.505,Dat do vang tren bazan,4,low,0,
2020-07-06,2020-07-12,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,30800,,0,interpolated_area,22.286,89.143,33.8,0.477,Dat do vang tren bazan,4,low,0,
2020-07-13,2020-07-19,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,30900,,0,interpolated_area,22.786,88.857,32.3,0.468,Dat do vang tren bazan,4,low,0,
2020-07-20,2020-07-26,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31000,,0,interpolated_area,22.514,88.286,37.2,0.466,Dat do vang tren bazan,4,low,0,
2020-07-27,2020-08-02,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31100,,0,interpolated_area,22.171,92.286,111.9,0.502,Dat do vang tren bazan,4,low,0,
2020-08-03,2020-08-09,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31200,,0,interpolated_area,22.157,92.714,83.1,0.504,Dat do vang tren bazan,4,low,0,
2020-08-10,2020-08-16,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31300,,0,interpolated_area,22.343,90.143,50.1,0.499,Dat do vang tren bazan,4,low,0,
2020-08-17,2020-08-23,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31400,,0,interpolated_area,22.414,89.0,24.8,0.485,Dat do vang tren bazan,4,low,0,
2020-08-24,2020-08-30,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31500,,0,interpolated_area,23.343,88.0,10.2,0.42,Dat do vang tren bazan,4,low,0,
2020-08-31,2020-09-06,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31600,,0,interpolated_area,22.729,89.857,43.6,0.445,Dat do vang tren bazan,4,low,0,
2020-09-07,2020-09-13,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.529,89.143,39.1,0.464,Dat do vang tren bazan,4,low,0,
2020-09-14,2020-09-20,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31800,,0,interpolated_area,21.871,91.571,92.4,0.495,Dat do vang tren bazan,4,low,0,
2020-09-21,2020-09-27,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,31900,,0,interpolated_area,22.071,91.286,53.6,0.495,Dat do vang tren bazan,4,low,0,
