period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2022-01-01,2022-01-02,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,20.25,80.0,0.6,0.306,Dat do vang tren bazan,4,low
2022-01-03,2022-01-09,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,20.214,82.571,23.0,0.343,Dat do vang tren bazan,4,low
2022-01-10,2022-01-16,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39833,,0,interpolated_area,19.6,75.143,0.0,0.289,Dat do vang tren bazan,4,low
2022-01-17,2022-01-23,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39567,,0,interpolated_area,20.329,76.0,0.6,0.268,Dat do vang tren bazan,4,low
2022-01-24,2022-01-30,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39300,39300.0,1,observed,21.343,74.143,1.4,0.267,Dat do vang tren bazan,4,low
2022-01-31,2022-02-06,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39900,,0,interpolated_area,22.071,71.857,4.2,0.262,Dat do vang tren bazan,4,low
2022-02-07,2022-02-13,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40500,40500.0,2,observed,22.114,75.0,7.7,0.307,Dat do vang tren bazan,4,low
2022-02-14,2022-02-20,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40800,40800.0,1,observed,21.414,85.714,25.5,0.422,Dat do vang tren bazan,4,low
2022-02-21,2022-02-27,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40800,40800.0,2,observed,20.443,83.143,25.8,0.426,Dat do vang tren bazan,4,low
2022-02-28,2022-03-06,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39300,39300.0,1,observed,22.171,77.0,5.6,0.325,Dat do vang tren bazan,4,low
2022-03-07,2022-03-13,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39800,39800.0,2,observed,22.171,74.0,5.5,0.288,Dat do vang tren bazan,4,low
2022-03-14,2022-03-20,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40350,40350.0,2,observed,22.729,80.286,9.5,0.318,Dat do vang tren bazan,4,low
2022-03-21,2022-03-27,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,41050,41050.0,2,observed,22.671,83.286,24.2,0.363,Dat do vang tren bazan,4,low
2022-03-28,2022-04-03,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40900,40900.0,3,observed,21.543,86.857,39.8,0.434,Dat do vang tren bazan,4,low
2022-04-04,2022-04-10,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40500,40500.0,2,observed,21.443,81.143,11.5,0.381,Dat do vang tren bazan,4,low
2022-04-11,2022-04-17,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40900,40900.0,1,observed,22.271,85.429,18.5,0.36,Dat do vang tren bazan,4,low
2022-04-18,2022-04-24,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40200,40200.0,1,observed,22.5,83.143,35.5,0.433,Dat do vang tren bazan,4,low
2022-04-25,2022-05-01,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,41000,41000.0,2,observed,22.529,88.0,40.4,0.455,Dat do vang tren bazan,4,low
2022-05-02,2022-05-08,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40517,,0,interpolated_area,22.329,87.429,79.6,0.486,Dat do vang tren bazan,4,low
2022-05-09,2022-05-15,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40033,40033.333333333336,3,observed,22.843,88.571,29.6,0.456,Dat do vang tren bazan,4,low
2022-05-16,2022-05-22,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,41400,41400.0,1,observed,22.229,91.429,74.2,0.49,Dat do vang tren bazan,4,low
2022-05-23,2022-05-29,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40600,40600.0,1,observed,22.014,92.143,56.7,0.49,Dat do vang tren bazan,4,low
