period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.46,64.0,0.0,0.202,Dat do bazan,4,low,0,
2020-01-06,2020-01-12,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,24.171,65.714,0.6,0.199,Dat do bazan,4,low,0,
2020-01-13,2020-01-19,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.071,62.714,0.0,0.194,Dat do bazan,4,low,0,
2020-01-20,2020-01-26,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.986,60.286,0.3,0.185,Dat do bazan,4,low,0,
2020-01-27,2020-02-02,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,22.686,62.571,5.4,0.207,Dat do bazan,4,low,0,
2020-02-03,2020-02-09,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.286,55.286,0.0,0.202,Dat do bazan,4,low,0,
2020-02-10,2020-02-16,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,26.286,61.0,1.9,0.196,Dat do bazan,4,low,0,
2020-02-17,2020-02-23,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.643,56.857,0.0,0.195,Dat do bazan,4,low,0,
2020-02-24,2020-03-01,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.014,56.714,0.0,0.187,Dat do bazan,4,low,0,
2020-03-02,2020-03-08,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,26.814,60.429,0.2,0.182,Dat do bazan,4,low,0,
2020-03-09,2020-03-15,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,28.457,54.0,1.9,0.199,Dat do bazan,4,low,0,
2020-03-16,2020-03-22,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,27.457,54.714,0.0,0.194,Dat do bazan,4,low,0,
2020-03-23,2020-03-29,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,28.286,54.286,0.2,0.187,Dat do bazan,4,low,0,
2020-03-30,2020-04-05,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,28.614,56.143,1.7,0.197,Dat do bazan,4,low,0,
2020-04-06,2020-04-12,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,26.929,68.143,22.2,0.303,Dat do bazan,4,low,0,
2020-04-13,2020-04-19,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,26.529,66.429,14.3,0.268,Dat do bazan,4,low,0,
2020-04-20,2020-04-26,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,28.529,59.429,1.2,0.226,Dat do bazan,4,low,0,
2020-04-27,2020-05-03,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,28.186,57.143,0.3,0.204,Dat do bazan,4,low,0,
2020-05-04,2020-05-10,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,30.714,56.857,5.2,0.209,Dat do bazan,4,low,0,
2020-05-11,2020-05-17,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,29.514,56.286,9.7,0.229,Dat do bazan,4,low,0,
2020-05-18,2020-05-24,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,26.757,82.429,55.0,0.404,Dat do bazan,4,low,0,
2020-05-25,2020-05-31,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.929,85.714,76.2,0.483,Dat do bazan,4,low,0,
2020-06-01,2020-06-07,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.914,84.0,32.0,0.464,Dat do bazan,4,low,0,
2020-06-08,2020-06-14,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32100,,0,province_proxy,25.843,85.857,73.3,0.461,Dat do bazan,4,low,0,
2020-06-15,2020-06-21,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,30900,,0,province_proxy,25.557,85.0,43.1,0.471,Dat do bazan,4,low,0,
2020-06-22,2020-06-28,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,30995,,0,interpolated_area,25.929,84.714,28.4,0.432,Dat do bazan,4,low,0,
2020-06-29,2020-07-05,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31090,,0,interpolated_area,23.657,93.429,97.2,0.499,Dat do bazan,4,low,0,
2020-07-06,2020-07-12,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31185,,0,interpolated_area,26.057,83.714,34.2,0.438,Dat do bazan,4,low,0,
2020-07-13,2020-07-19,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31280,,0,interpolated_area,25.729,84.857,45.5,0.476,Dat do bazan,4,low,0,
2020-07-20,2020-07-26,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31375,,0,interpolated_area,25.629,83.714,39.8,0.464,Dat do bazan,4,low,0,
2020-07-27,2020-08-02,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31470,,0,interpolated_area,24.329,92.286,212.6,0.499,Dat do bazan,4,low,0,
2020-08-03,2020-08-09,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31565,,0,interpolated_area,24.314,91.857,84.9,0.502,Dat do bazan,4,low,0,
2020-08-10,2020-08-16,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31660,,0,interpolated_area,24.329,89.857,84.0,0.498,Dat do bazan,4,low,0,
2020-08-17,2020-08-23,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31755,,0,interpolated_area,24.5,87.714,49.5,0.485,Dat do bazan,4,low,0,
2020-08-24,2020-08-30,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31850,,0,interpolated_area,25.4,87.143,36.2,0.474,Dat do bazan,4,low,0,
2020-08-31,2020-09-06,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,31945,,0,interpolated_area,25.343,87.429,129.4,0.49,Dat do bazan,4,low,0,
2020-09-07,2020-09-13,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32040,,0,interpolated_area,25.471,85.571,39.5,0.482,Dat do bazan,4,low,0,
2020-09-14,2020-09-20,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32135,,0,interpolated_area,24.2,90.429,142.2,0.498,Dat do bazan,4,low,0,
2020-09-21,2020-09-27,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32230,,0,interpolated_area,25.1,85.857,46.5,0.488,Dat do bazan,4,low,0,
2020-09-28,2020-10-04,Gia Lai,Chu Prong,Robusta / ca phe nhan xo noi dia,32325,,0,interpolated_area,24.743,88.286,64.9,0.487,Dat do bazan,4,low,0,
