period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,22.42,73.4,0.0,0.217,Dat do bazan,5,high,0,
2020-01-06,2020-01-12,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,23.0,73.714,0.0,0.216,Dat do bazan,5,high,0,
2020-01-13,2020-01-19,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,22.171,71.286,0.0,0.218,Dat do bazan,5,high,0,
2020-01-20,2020-01-26,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,23.429,69.0,0.0,0.203,Dat do bazan,5,high,0,
2020-01-27,2020-02-02,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,22.329,68.571,1.5,0.208,Dat do bazan,5,high,0,
2020-02-03,2020-02-09,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,22.243,67.714,0.0,0.212,Dat do bazan,5,high,0,
2020-02-10,2020-02-16,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,25.6,66.571,1.4,0.208,Dat do bazan,5,high,0,
2020-02-17,2020-02-23,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,22.529,67.571,0.0,0.22,Dat do bazan,5,high,0,
2020-02-24,2020-03-01,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,23.886,68.143,0.0,0.217,Dat do bazan,5,high,0,
2020-03-02,2020-03-08,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,26.143,64.714,0.0,0.22,Dat do bazan,5,high,0,
2020-03-09,2020-03-15,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,27.729,60.429,0.3,0.218,Dat do bazan,5,high,0,
2020-03-16,2020-03-22,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,26.786,60.143,0.1,0.216,Dat do bazan,5,high,0,
2020-03-23,2020-03-29,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,27.786,56.857,0.6,0.216,Dat do bazan,5,high,0,
2020-03-30,2020-04-05,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,28.071,60.143,0.6,0.217,Dat do bazan,5,high,0,
2020-04-06,2020-04-12,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,26.971,67.143,17.1,0.262,Dat do bazan,5,high,0,
2020-04-13,2020-04-19,Dak Lak,Cu M'gar,Robusta / ca phe nhan xo noi dia,31092,,0,interpolated_area,26.314,68.0,10.1,0.255,Dat do bazan,5,high,0,
