period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.12,70.8,0.0,0.323,Dat do bazan,4,low,0,
2020-01-06,2020-01-12,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.9,71.286,1.1,0.32,Dat do bazan,4,low,0,
2020-01-13,2020-01-19,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.086,68.0,0.0,0.306,Dat do bazan,4,low,0,
2020-01-20,2020-01-26,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.429,65.143,0.0,0.296,Dat do bazan,4,low,0,
2020-01-27,2020-02-02,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.414,67.0,0.4,0.291,Dat do bazan,4,low,0,
2020-02-03,2020-02-09,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.243,62.0,0.8,0.291,Dat do bazan,4,low,0,
2020-02-10,2020-02-16,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.357,70.286,2.4,0.299,Dat do bazan,4,low,0,
2020-02-17,2020-02-23,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.529,65.857,0.0,0.313,Dat do bazan,4,low,0,
2020-02-24,2020-03-01,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.029,62.286,0.5,0.301,Dat do bazan,4,low,0,
2020-03-02,2020-03-08,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.543,74.857,4.8,0.315,Dat do bazan,4,low,0,
2020-03-09,2020-03-15,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.486,71.857,3.8,0.346,Dat do bazan,4,low,0,
2020-03-16,2020-03-22,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.886,64.714,0.0,0.318,Dat do bazan,4,low,0,
2020-03-23,2020-03-29,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.514,76.429,7.9,0.35,Dat do bazan,4,low,0,
2020-03-30,2020-04-05,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.514,68.857,1.3,0.363,Dat do bazan,4,low,0,
2020-04-06,2020-04-12,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.086,86.714,48.9,0.422,Dat do bazan,4,low,0,
2020-04-13,2020-04-19,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.829,86.714,29.0,0.463,Dat do bazan,4,low,0,
2020-04-20,2020-04-26,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.386,79.0,19.9,0.424,Dat do bazan,4,low,0,
2020-04-27,2020-05-03,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.514,71.286,4.3,0.393,Dat do bazan,4,low,0,
2020-05-04,2020-05-10,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,26.143,81.857,12.6,0.399,Dat do bazan,4,low,0,
2020-05-11,2020-05-17,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.6,80.571,31.9,0.418,Dat do bazan,4,low,0,
2020-05-18,2020-05-24,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.157,88.0,40.0,0.464,Dat do bazan,4,low,0,
2020-05-25,2020-05-31,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.614,88.286,57.1,0.479,Dat do bazan,4,low,0,
2020-06-01,2020-06-07,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.114,89.571,74.3,0.492,Dat do bazan,4,low,0,
2020-06-08,2020-06-14,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.657,92.857,117.5,0.497,Dat do bazan,4,low,0,
2020-06-15,2020-06-21,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.871,90.714,79.8,0.494,Dat do bazan,4,low,0,
2020-06-22,2020-06-28,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.6,91.857,70.7,0.496,Dat do bazan,4,low,0,
2020-06-29,2020-07-05,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.457,95.429,126.7,0.505,Dat do bazan,4,low,0,
2020-07-06,2020-07-12,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.557,88.429,47.1,0.488,Dat do bazan,4,low,0,
2020-07-13,2020-07-19,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.971,90.0,60.7,0.497,Dat do bazan,4,low,0,
2020-07-20,2020-07-26,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.543,90.429,206.9,0.493,Dat do bazan,4,low,0,
2020-07-27,2020-08-02,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.129,94.714,160.8,0.504,Dat do bazan,4,low,0,
2020-08-03,2020-08-09,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.086,94.143,110.2,0.506,Dat do bazan,4,low,0,
2020-08-10,2020-08-16,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.386,91.0,85.6,0.501,Dat do bazan,4,low,0,
2020-08-17,2020-08-23,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.6,89.714,61.0,0.494,Dat do bazan,4,low,0,
2020-08-24,2020-08-30,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.671,87.0,23.1,0.461,Dat do bazan,4,low,0,
2020-08-31,2020-09-06,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.871,90.714,75.3,0.485,Dat do bazan,4,low,0,
2020-09-07,2020-09-13,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.529,91.143,149.2,0.499,Dat do bazan,4,low,0,
2020-09-14,2020-09-20,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.686,94.286,130.5,0.501,Dat do bazan,4,low,0,
2020-09-21,2020-09-27,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.214,91.571,90.8,0.497,Dat do bazan,4,low,0,
2020-09-28,2020-10-04,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.9,93.0,84.6,0.498,Dat do bazan,4,low,0,
2020-10-05,2020-10-11,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.471,95.571,103.0,0.505,Dat do bazan,4,low,0,
2020-10-12,2020-10-18,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.086,97.429,201.3,0.505,Dat do bazan,4,low,0,
2020-10-19,2020-10-25,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.8,90.429,62.4,0.492,Dat do bazan,4,low,0,
2020-10-26,2020-11-01,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.729,88.571,22.0,0.477,Dat do bazan,4,low,0,
2020-11-02,2020-11-08,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,32900,32900.0,1,observed,22.6,82.0,15.7,0.441,Dat do bazan,4,low,1,Nong Nghiep Moi Truong
2020-11-09,2020-11-15,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,33010,,0,interpolated_area,22.229,85.143,62.4,0.468,Dat do bazan,4,low,0,
2020-11-16,2020-11-22,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,33119,,0,interpolated_area,23.4,84.571,4.7,0.423,Dat do bazan,4,low,0,
2020-11-23,2020-11-29,Dak Nong,Dak R'lap,Robusta / ca phe nhan xo noi dia,33229,,0,interpolated_area,22.529,80.571,30.4,0.423,Dat do bazan,4,low,0,
