period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.58,66.6,0.0,0.217,Dat do vang tren bazan,4,medium,0,
2020-01-06,2020-01-12,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.971,65.714,0.7,0.211,Dat do vang tren bazan,4,medium,0,
2020-01-13,2020-01-19,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.414,61.571,1.7,0.213,Dat do vang tren bazan,4,medium,0,
2020-01-20,2020-01-26,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.086,59.857,0.1,0.211,Dat do vang tren bazan,4,medium,0,
2020-01-27,2020-02-02,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.871,67.857,2.6,0.213,Dat do vang tren bazan,4,medium,0,
2020-02-03,2020-02-09,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.257,55.714,2.4,0.217,Dat do vang tren bazan,4,medium,0,
2020-02-10,2020-02-16,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.286,72.429,7.3,0.242,Dat do vang tren bazan,4,medium,0,
2020-02-17,2020-02-23,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.029,62.429,1.3,0.245,Dat do vang tren bazan,4,medium,0,
2020-02-24,2020-03-01,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.614,57.286,0.2,0.216,Dat do vang tren bazan,4,medium,0,
2020-03-02,2020-03-08,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.9,71.0,9.7,0.242,Dat do vang tren bazan,4,medium,0,
2020-03-09,2020-03-15,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.414,69.714,3.2,0.283,Dat do vang tren bazan,4,medium,0,
2020-03-16,2020-03-22,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.757,63.857,0.1,0.223,Dat do vang tren bazan,4,medium,0,
2020-03-23,2020-03-29,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.814,71.429,8.2,0.234,Dat do vang tren bazan,4,medium,0,
