period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2022-01-01,2022-01-02,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,20.05,72.0,0.0,0.29,Dat do vang tren bazan,4,medium
2022-01-03,2022-01-09,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,20.157,80.0,23.2,0.388,Dat do vang tren bazan,4,medium
2022-01-10,2022-01-16,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39833,,0,interpolated_area,19.414,70.429,0.1,0.314,Dat do vang tren bazan,4,medium
2022-01-17,2022-01-23,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39567,,0,interpolated_area,20.171,74.286,2.0,0.255,Dat do vang tren bazan,4,medium
2022-01-24,2022-01-30,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39300,39300.0,1,observed,21.214,71.857,3.2,0.243,Dat do vang tren bazan,4,medium
2022-01-31,2022-02-06,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39900,,0,interpolated_area,21.671,69.143,2.0,0.232,Dat do vang tren bazan,4,medium
2022-02-07,2022-02-13,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40500,40500.0,2,observed,21.629,74.429,16.4,0.327,Dat do vang tren bazan,4,medium
2022-02-14,2022-02-20,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40800,40800.0,1,observed,21.143,84.429,21.8,0.38,Dat do vang tren bazan,4,medium
2022-02-21,2022-02-27,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40800,40800.0,2,observed,20.714,78.286,25.6,0.388,Dat do vang tren bazan,4,medium
2022-02-28,2022-03-06,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39300,39300.0,1,observed,22.371,71.286,7.8,0.301,Dat do vang tren bazan,4,medium
2022-03-07,2022-03-13,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39800,39800.0,2,observed,22.486,69.429,20.9,0.308,Dat do vang tren bazan,4,medium
2022-03-14,2022-03-20,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40350,40350.0,2,observed,22.314,80.0,21.0,0.356,Dat do vang tren bazan,4,medium
2022-03-21,2022-03-27,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,41050,41050.0,2,observed,22.029,84.571,18.6,0.399,Dat do vang tren bazan,4,medium
2022-03-28,2022-04-03,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40900,40900.0,3,observed,21.1,86.429,55.8,0.456,Dat do vang tren bazan,4,medium
2022-04-04,2022-04-10,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40500,40500.0,2,observed,21.014,83.0,56.7,0.456,Dat do vang tren bazan,4,medium
2022-04-11,2022-04-17,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40900,40900.0,1,observed,21.643,86.571,56.5,0.436,Dat do vang tren bazan,4,medium
2022-04-18,2022-04-24,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40200,40200.0,1,observed,22.071,83.0,44.2,0.466,Dat do vang tren bazan,4,medium
2022-04-25,2022-05-01,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,41000,41000.0,2,observed,21.943,89.286,44.8,0.471,Dat do vang tren bazan,4,medium
2022-05-02,2022-05-08,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40517,,0,interpolated_area,21.814,87.857,75.1,0.488,Dat do vang tren bazan,4,medium
2022-05-09,2022-05-15,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40033,40033.333333333336,3,observed,22.429,88.0,60.1,0.489,Dat do vang tren bazan,4,medium
2022-05-16,2022-05-22,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,41400,41400.0,1,observed,21.729,91.714,108.2,0.499,Dat do vang tren bazan,4,medium
2022-05-23,2022-05-29,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40600,40600.0,1,observed,21.457,92.714,47.3,0.493,Dat do vang tren bazan,4,medium
2022-05-30,2022-06-05,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,42500,42500.0,2,observed,21.829,89.286,59.1,0.489,Dat do vang tren bazan,4,medium
2022-06-06,2022-06-12,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,42000,42000.0,1,observed,22.2,86.714,52.2,0.472,Dat do vang tren bazan,4,medium
2022-06-13,2022-06-19,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,42250,42250.0,2,observed,22.014,87.429,38.6,0.487,Dat do vang tren bazan,4,medium
2022-06-20,2022-06-26,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,42800,42800.0,1,observed,21.614,88.143,59.3,0.493,Dat do vang tren bazan,4,medium
2022-06-27,2022-07-03,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,42600,42600.0,1,observed,21.857,91.143,23.0,0.483,Dat do vang tren bazan,4,medium
2022-07-04,2022-07-10,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,41900,41900.0,1,observed,21.443,92.286,51.6,0.486,Dat do vang tren bazan,4,medium
2022-07-11,2022-07-17,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,41775,,0,interpolated_area,21.271,92.714,52.1,0.497,Dat do vang tren bazan,4,medium
2022-07-18,2022-07-24,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,41650,41650.0,2,observed,21.757,88.0,50.9,0.492,Dat do vang tren bazan,4,medium
2022-07-25,2022-07-31,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,42667,42666.666666666664,3,observed,21.843,89.429,51.6,0.486,Dat do vang tren bazan,4,medium
2022-08-01,2022-08-07,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,44000,44000.0,1,observed,21.371,92.286,62.5,0.498,Dat do vang tren bazan,4,medium
2022-08-08,2022-08-14,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46100,46100.0,2,observed,20.7,92.143,94.6,0.497,Dat do vang tren bazan,4,medium
2022-08-15,2022-08-21,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,48500,48500.0,1,observed,21.586,90.857,47.2,0.488,Dat do vang tren bazan,4,medium
2022-08-22,2022-08-28,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,49300,49300.0,2,observed,21.557,89.143,51.3,0.494,Dat do vang tren bazan,4,medium
2022-08-29,2022-09-04,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,48100,48100.0,2,observed,21.729,89.143,70.9,0.49,Dat do vang tren bazan,4,medium
2022-09-05,2022-09-11,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,47750,47750.0,2,observed,21.3,91.0,66.8,0.496,Dat do vang tren bazan,4,medium
2022-09-12,2022-09-18,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,47467,47466.666666666664,3,observed,21.214,91.0,39.5,0.493,Dat do vang tren bazan,4,medium
2022-09-19,2022-09-25,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46900,46900.0,1,observed,21.186,91.571,55.5,0.493,Dat do vang tren bazan,4,medium
2022-09-26,2022-10-02,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46800,46800.0,1,observed,20.771,93.286,90.7,0.505,Dat do vang tren bazan,4,medium
2022-10-03,2022-10-09,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46233,46233.333333333336,3,observed,21.486,87.143,50.0,0.494,Dat do vang tren bazan,4,medium
2022-10-10,2022-10-16,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46250,46250.0,2,observed,20.286,89.857,41.2,0.478,Dat do vang tren bazan,4,medium
2022-10-17,2022-10-23,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,43850,43850.0,2,observed,21.271,87.857,45.7,0.476,Dat do vang tren bazan,4,medium
2022-10-24,2022-10-30,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,43200,43200.0,1,observed,21.314,86.857,39.0,0.482,Dat do vang tren bazan,4,medium
2022-10-31,2022-11-06,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40650,40650.0,2,observed,20.429,87.143,42.1,0.46,Dat do vang tren bazan,4,medium
2022-11-07,2022-11-13,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39900,39900.0,2,observed,21.486,82.143,30.1,0.438,Dat do vang tren bazan,4,medium
2022-11-14,2022-11-20,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39633,39633.333333333336,3,observed,21.243,84.429,75.1,0.462,Dat do vang tren bazan,4,medium
2022-11-21,2022-11-27,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39100,39100.0,1,observed,20.943,91.143,37.0,0.49,Dat do vang tren bazan,4,medium
2022-11-28,2022-12-04,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40250,40250.0,2,observed,21.086,83.286,14.8,0.447,Dat do vang tren bazan,4,medium
2022-12-05,2022-12-11,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40333,40333.333333333336,3,observed,20.629,83.857,17.9,0.456,Dat do vang tren bazan,4,medium
2022-12-12,2022-12-18,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40243,40242.857142857145,7,observed,19.457,80.571,3.4,0.396,Dat do vang tren bazan,4,medium
2022-12-19,2022-12-25,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40100,40100.0,1,observed,18.443,77.429,1.7,0.324,Dat do vang tren bazan,4,medium
2022-12-26,2023-01-01,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,18.457,78.571,4.7,0.283,Dat do vang tren bazan,4,medium
2023-01-02,2023-01-08,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39100,39100.0,2,observed,19.071,88.714,85.0,0.471,Dat do vang tren bazan,4,medium
2023-01-09,2023-01-15,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,39389,39388.88888888889,9,observed,20.2,88.143,25.4,0.477,Dat do vang tren bazan,4,medium
2023-01-16,2023-01-22,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,40367,40366.666666666664,3,observed,19.443,82.714,13.6,0.398,Dat do vang tren bazan,4,medium
2023-01-23,2023-01-29,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,41300,,0,interpolated_area,19.457,77.571,3.1,0.333,Dat do vang tren bazan,4,medium
2023-01-30,2023-02-05,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,42233,42233.333333333336,3,observed,20.514,78.857,10.1,0.336,Dat do vang tren bazan,4,medium
2023-02-06,2023-02-12,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,43260,43260.0,5,observed,21.186,73.571,2.5,0.288,Dat do vang tren bazan,4,medium
2023-02-13,2023-02-19,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,43883,43883.333333333336,6,observed,20.614,75.286,18.9,0.28,Dat do vang tren bazan,4,medium
2023-02-20,2023-02-26,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,45533,45533.333333333336,3,observed,19.643,71.857,0.6,0.321,Dat do vang tren bazan,4,medium
2023-02-27,2023-03-05,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46967,46966.666666666664,3,observed,20.443,69.571,2.4,0.257,Dat do vang tren bazan,4,medium
2023-03-06,2023-03-12,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,47517,47516.666666666664,6,observed,20.686,61.571,0.0,0.225,Dat do vang tren bazan,4,medium
2023-03-13,2023-03-19,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46840,46840.0,5,observed,21.857,66.571,1.3,0.216,Dat do vang tren bazan,4,medium
2023-03-20,2023-03-26,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,46350,46350.0,2,observed,23.314,71.714,6.7,0.234,Dat do vang tren bazan,4,medium
2023-03-27,2023-04-02,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,48100,48100.0,3,observed,23.029,71.286,6.1,0.25,Dat do vang tren bazan,4,medium
2023-04-03,2023-04-09,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,48600,48600.0,1,observed,22.886,77.0,12.9,0.288,Dat do vang tren bazan,4,medium
2023-04-10,2023-04-16,Lam Dong,Di Linh,Robusta / ca phe nhan xo noi dia,49812,49812.5,8,observed,23.171,82.714,25.3,0.318,Dat do vang tren bazan,4,medium
