period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,21.8,71.6,0.0,0.245,Dat do bazan,4,low,0,
2020-01-06,2020-01-12,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.543,71.286,0.6,0.24,Dat do bazan,4,low,0,
2020-01-13,2020-01-19,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,21.8,67.571,0.0,0.224,Dat do bazan,4,low,0,
2020-01-20,2020-01-26,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.2,63.0,0.0,0.219,Dat do bazan,4,low,0,
2020-01-27,2020-02-02,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.271,65.857,0.4,0.22,Dat do bazan,4,low,0,
2020-02-03,2020-02-09,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,21.929,62.571,1.3,0.219,Dat do bazan,4,low,0,
2020-02-10,2020-02-16,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.457,68.714,0.7,0.232,Dat do bazan,4,low,0,
2020-02-17,2020-02-23,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.114,66.857,0.0,0.233,Dat do bazan,4,low,0,
2020-02-24,2020-03-01,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.929,61.571,0.0,0.225,Dat do bazan,4,low,0,
2020-03-02,2020-03-08,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.714,72.286,5.0,0.244,Dat do bazan,4,low,0,
2020-03-09,2020-03-15,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.6,69.857,1.9,0.264,Dat do bazan,4,low,0,
2020-03-16,2020-03-22,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.343,59.714,0.3,0.229,Dat do bazan,4,low,0,
2020-03-23,2020-03-29,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.014,71.571,3.6,0.249,Dat do bazan,4,low,0,
2020-03-30,2020-04-05,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.957,64.714,0.2,0.256,Dat do bazan,4,low,0,
2020-04-06,2020-04-12,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.114,84.0,42.3,0.344,Dat do bazan,4,low,0,
2020-04-13,2020-04-19,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.871,83.429,19.0,0.416,Dat do bazan,4,low,0,
2020-04-20,2020-04-26,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.557,75.857,9.1,0.339,Dat do bazan,4,low,0,
2020-04-27,2020-05-03,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.629,68.429,4.2,0.306,Dat do bazan,4,low,0,
2020-05-04,2020-05-10,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,26.429,78.143,8.4,0.311,Dat do bazan,4,low,0,
2020-05-11,2020-05-17,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.643,79.429,52.5,0.363,Dat do bazan,4,low,0,
2020-05-18,2020-05-24,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,25.086,87.286,52.4,0.458,Dat do bazan,4,low,0,
2020-05-25,2020-05-31,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.486,87.429,73.1,0.475,Dat do bazan,4,low,0,
2020-06-01,2020-06-07,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,24.157,88.286,60.5,0.489,Dat do bazan,4,low,0,
2020-06-08,2020-06-14,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.643,91.143,87.8,0.491,Dat do bazan,4,low,0,
2020-06-15,2020-06-21,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.729,89.857,53.8,0.495,Dat do bazan,4,low,0,
2020-06-22,2020-06-28,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.429,90.286,73.3,0.492,Dat do bazan,4,low,0,
2020-06-29,2020-07-05,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,22.3,94.429,106.3,0.505,Dat do bazan,4,low,0,
2020-07-06,2020-07-12,Dak Nong,Gia Nghia,Robusta / ca phe nhan xo noi dia,32900,,0,interpolated_area,23.543,88.286,63.3,0.487,Dat do bazan,4,low,0,
