period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,21.8,69.2,0.0,0.247,Dat do vang / dat bazan cuc bo,3,low,0,
2020-01-06,2020-01-12,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,22.729,69.0,0.9,0.247,Dat do vang / dat bazan cuc bo,3,low,0,
2020-01-13,2020-01-19,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,21.257,66.429,0.0,0.254,Dat do vang / dat bazan cuc bo,3,low,0,
2020-01-20,2020-01-26,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,22.186,65.571,0.4,0.248,Dat do vang / dat bazan cuc bo,3,low,0,
2020-01-27,2020-02-02,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,20.871,67.143,4.6,0.26,Dat do vang / dat bazan cuc bo,3,low,0,
2020-02-03,2020-02-09,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,21.1,62.286,0.0,0.246,Dat do vang / dat bazan cuc bo,3,low,0,
2020-02-10,2020-02-16,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,24.514,64.286,0.5,0.24,Dat do vang / dat bazan cuc bo,3,low,0,
2020-02-17,2020-02-23,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,21.4,63.571,0.0,0.236,Dat do vang / dat bazan cuc bo,3,low,0,
2020-02-24,2020-03-01,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,23.086,62.714,0.0,0.233,Dat do vang / dat bazan cuc bo,3,low,0,
2020-03-02,2020-03-08,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,25.729,63.286,2.1,0.231,Dat do vang / dat bazan cuc bo,3,low,0,
2020-03-09,2020-03-15,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,26.829,59.286,0.5,0.24,Dat do vang / dat bazan cuc bo,3,low,0,
