period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2022-01-01,2022-01-02,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40800,,0,interpolated_area,21.3,71.5,0.0,0.292,Dat do vang / dat bazan cuc bo,3,low
2022-01-03,2022-01-09,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40800,40800.0,2,observed,21.729,71.714,0.8,0.272,Dat do vang / dat bazan cuc bo,3,low
2022-01-10,2022-01-16,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40500,,0,interpolated_area,21.3,70.429,0.0,0.259,Dat do vang / dat bazan cuc bo,3,low
2022-01-17,2022-01-23,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40200,,0,interpolated_area,21.671,69.429,0.2,0.249,Dat do vang / dat bazan cuc bo,3,low
2022-01-24,2022-01-30,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,39900,39900.0,1,observed,22.6,71.0,1.3,0.256,Dat do vang / dat bazan cuc bo,3,low
2022-01-31,2022-02-06,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40450,,0,interpolated_area,22.686,70.429,2.4,0.268,Dat do vang / dat bazan cuc bo,3,low
2022-02-07,2022-02-13,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,41000,41000.0,2,observed,23.957,69.571,2.1,0.255,Dat do vang / dat bazan cuc bo,3,low
2022-02-14,2022-02-20,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,41300,41300.0,1,observed,23.5,76.286,15.9,0.267,Dat do vang / dat bazan cuc bo,3,low
2022-02-21,2022-02-27,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,41250,41250.0,2,observed,21.086,66.286,2.8,0.285,Dat do vang / dat bazan cuc bo,3,low
2022-02-28,2022-03-06,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,39800,39800.0,1,observed,24.514,65.714,0.0,0.246,Dat do vang / dat bazan cuc bo,3,low
2022-03-07,2022-03-13,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40300,40300.0,2,observed,24.086,61.857,0.0,0.241,Dat do vang / dat bazan cuc bo,3,low
2022-03-14,2022-03-20,Kon Tum,Kon Tum,Robusta / ca phe nhan xo noi dia,40850,40850.0,2,observed,25.457,72.714,16.2,0.283,Dat do vang / dat bazan cuc bo,3,low
