period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2022-01-01,2022-01-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40100,,0,interpolated_area,20.45,73.5,0.0,0.287,Dat do vang tren bazan,4,low
2022-01-03,2022-01-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,19.786,80.143,17.0,0.366,Dat do vang tren bazan,4,low
2022-01-10,2022-01-16,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39833,,0,interpolated_area,18.743,74.0,0.0,0.308,Dat do vang tren bazan,4,low
2022-01-17,2022-01-23,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39567,,0,interpolated_area,19.943,73.143,0.0,0.278,Dat do vang tren bazan,4,low
2022-01-24,2022-01-30,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39300,39300.0,1,observed,20.6,73.286,2.2,0.286,Dat do vang tren bazan,4,low
2022-01-31,2022-02-06,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39900,,0,interpolated_area,21.729,70.143,0.5,0.283,Dat do vang tren bazan,4,low
2022-02-07,2022-02-13,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40500,40500.0,2,observed,21.829,73.429,10.3,0.338,Dat do vang tren bazan,4,low
2022-02-14,2022-02-20,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40800,40800.0,1,observed,21.686,80.286,22.6,0.38,Dat do vang tren bazan,4,low
2022-02-21,2022-02-27,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40800,40800.0,2,observed,21.443,74.0,15.5,0.341,Dat do vang tren bazan,4,low
2022-02-28,2022-03-06,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39300,39300.0,1,observed,22.643,70.429,3.2,0.286,Dat do vang tren bazan,4,low
2022-03-07,2022-03-13,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39800,39800.0,2,observed,22.243,69.571,21.8,0.295,Dat do vang tren bazan,4,low
2022-03-14,2022-03-20,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40350,40350.0,2,observed,22.643,75.286,11.1,0.309,Dat do vang tren bazan,4,low
2022-03-21,2022-03-27,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,41050,41050.0,2,observed,22.129,82.286,20.1,0.36,Dat do vang tren bazan,4,low
2022-03-28,2022-04-03,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40900,40900.0,3,observed,21.257,83.857,51.1,0.415,Dat do vang tren bazan,4,low
2022-04-04,2022-04-10,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40500,40500.0,2,observed,21.329,79.571,16.8,0.425,Dat do vang tren bazan,4,low
2022-04-11,2022-04-17,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40900,40900.0,1,observed,22.186,82.286,23.7,0.384,Dat do vang tren bazan,4,low
2022-04-18,2022-04-24,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40200,40200.0,1,observed,22.514,80.143,16.8,0.381,Dat do vang tren bazan,4,low
2022-04-25,2022-05-01,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,41000,41000.0,2,observed,22.386,85.714,57.0,0.408,Dat do vang tren bazan,4,low
2022-05-02,2022-05-08,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40517,,0,interpolated_area,22.286,85.143,46.8,0.465,Dat do vang tren bazan,4,low
2022-05-09,2022-05-15,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40033,40033.333333333336,3,observed,22.857,84.0,20.2,0.398,Dat do vang tren bazan,4,low
2022-05-16,2022-05-22,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,41400,41400.0,1,observed,22.271,88.714,96.2,0.482,Dat do vang tren bazan,4,low
2022-05-23,2022-05-29,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40600,40600.0,1,observed,22.114,88.0,32.5,0.471,Dat do vang tren bazan,4,low
2022-05-30,2022-06-05,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,42500,42500.0,2,observed,22.371,85.429,46.5,0.463,Dat do vang tren bazan,4,low
2022-06-06,2022-06-12,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,42000,42000.0,1,observed,22.386,84.143,32.8,0.445,Dat do vang tren bazan,4,low
2022-06-13,2022-06-19,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,42250,42250.0,2,observed,22.386,84.429,25.8,0.409,Dat do vang tren bazan,4,low
2022-06-20,2022-06-26,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,42800,42800.0,1,observed,21.786,86.143,37.0,0.441,Dat do vang tren bazan,4,low
2022-06-27,2022-07-03,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,42600,42600.0,1,observed,22.743,85.0,12.0,0.423,Dat do vang tren bazan,4,low
2022-07-04,2022-07-10,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,41900,41900.0,1,observed,22.414,86.429,51.5,0.454,Dat do vang tren bazan,4,low
2022-07-11,2022-07-17,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,41775,,0,interpolated_area,22.3,87.0,33.8,0.477,Dat do vang tren bazan,4,low
2022-07-18,2022-07-24,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,41650,41650.0,2,observed,22.1,86.571,53.5,0.479,Dat do vang tren bazan,4,low
2022-07-25,2022-07-31,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,42667,42666.666666666664,3,observed,22.214,87.0,54.1,0.445,Dat do vang tren bazan,4,low
2022-08-01,2022-08-07,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,44000,44000.0,1,observed,22.043,87.143,60.3,0.482,Dat do vang tren bazan,4,low
2022-08-08,2022-08-14,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,46100,46100.0,2,observed,21.586,86.857,35.6,0.481,Dat do vang tren bazan,4,low
2022-08-15,2022-08-21,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,48500,48500.0,1,observed,22.2,86.286,34.9,0.462,Dat do vang tren bazan,4,low
2022-08-22,2022-08-28,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,49300,49300.0,2,observed,22.014,86.571,50.0,0.483,Dat do vang tren bazan,4,low
2022-08-29,2022-09-04,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,48100,48100.0,2,observed,22.014,87.0,32.3,0.485,Dat do vang tren bazan,4,low
2022-09-05,2022-09-11,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,47750,47750.0,2,observed,21.557,88.714,63.0,0.49,Dat do vang tren bazan,4,low
2022-09-12,2022-09-18,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,47467,47466.666666666664,3,observed,21.8,87.0,39.9,0.489,Dat do vang tren bazan,4,low
2022-09-19,2022-09-25,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,46900,46900.0,1,observed,21.714,88.571,55.4,0.487,Dat do vang tren bazan,4,low
2022-09-26,2022-10-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,46800,46800.0,1,observed,21.543,89.286,42.7,0.499,Dat do vang tren bazan,4,low
2022-10-03,2022-10-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,46233,46233.333333333336,3,observed,21.271,88.143,67.3,0.491,Dat do vang tren bazan,4,low
2022-10-10,2022-10-16,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,46250,46250.0,2,observed,20.643,87.571,42.6,0.485,Dat do vang tren bazan,4,low
2022-10-17,2022-10-23,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,43850,43850.0,2,observed,21.514,87.0,51.7,0.478,Dat do vang tren bazan,4,low
2022-10-24,2022-10-30,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,43200,43200.0,1,observed,21.443,86.0,36.9,0.482,Dat do vang tren bazan,4,low
2022-10-31,2022-11-06,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,40650,40650.0,2,observed,20.443,85.857,49.6,0.451,Dat do vang tren bazan,4,low
2022-11-07,2022-11-13,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39900,39900.0,2,observed,21.129,83.571,21.5,0.455,Dat do vang tren bazan,4,low
2022-11-14,2022-11-20,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39633,39633.333333333336,3,observed,21.086,85.571,71.5,0.464,Dat do vang tren bazan,4,low
2022-11-21,2022-11-27,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,39100,39100.0,1,observed,20.843,90.286,41.2,0.488,Dat do vang tren bazan,4,low
