period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,20.92,70.2,0.0,0.263,Dat do bazan,4,low,0,
2020-01-06,2020-01-12,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,21.871,70.857,0.7,0.256,Dat do bazan,4,low,0,
2020-01-13,2020-01-19,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,20.243,69.714,0.0,0.257,Dat do bazan,4,low,0,
2020-01-20,2020-01-26,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,21.343,67.143,1.4,0.252,Dat do bazan,4,low,0,
2020-01-27,2020-02-02,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,20.0,69.571,4.7,0.274,Dat do bazan,4,low,0,
2020-02-03,2020-02-09,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,20.557,60.429,0.0,0.267,Dat do bazan,4,low,0,
2020-02-10,2020-02-16,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.671,67.286,2.1,0.265,Dat do bazan,4,low,0,
2020-02-17,2020-02-23,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,20.671,64.429,0.0,0.263,Dat do bazan,4,low,0,
2020-02-24,2020-03-01,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,22.229,63.429,0.0,0.256,Dat do bazan,4,low,0,
2020-03-02,2020-03-08,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,24.243,66.857,0.9,0.256,Dat do bazan,4,low,0,
2020-03-09,2020-03-15,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.9,59.0,0.5,0.256,Dat do bazan,4,low,0,
2020-03-16,2020-03-22,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,24.714,62.0,0.0,0.248,Dat do bazan,4,low,0,
2020-03-23,2020-03-29,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.614,60.714,1.3,0.246,Dat do bazan,4,low,0,
2020-03-30,2020-04-05,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.786,63.714,3.9,0.275,Dat do bazan,4,low,0,
2020-04-06,2020-04-12,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,24.329,74.143,21.4,0.351,Dat do bazan,4,low,0,
2020-04-13,2020-04-19,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.929,73.286,22.8,0.336,Dat do bazan,4,low,0,
2020-04-20,2020-04-26,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,26.029,64.571,2.5,0.299,Dat do bazan,4,low,0,
2020-04-27,2020-05-03,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.6,62.286,0.4,0.264,Dat do bazan,4,low,0,
2020-05-04,2020-05-10,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,28.529,60.571,6.6,0.264,Dat do bazan,4,low,0,
2020-05-11,2020-05-17,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,27.214,60.0,16.5,0.277,Dat do bazan,4,low,0,
2020-05-18,2020-05-24,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,25.229,82.429,31.6,0.364,Dat do bazan,4,low,0,
2020-05-25,2020-05-31,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,24.2,87.857,54.1,0.444,Dat do bazan,4,low,0,
2020-06-01,2020-06-07,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,24.186,85.571,19.6,0.432,Dat do bazan,4,low,0,
2020-06-08,2020-06-14,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,32100.0,1,observed,24.143,87.571,40.3,0.438,Dat do bazan,4,low,1,Nong Nghiep Moi Truong
2020-06-15,2020-06-21,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,30900,30900.0,3,observed,23.686,87.286,29.9,0.476,Dat do bazan,4,low,3,Nong Nghiep Moi Truong
2020-06-22,2020-06-28,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31000,,0,interpolated_area,24.157,86.857,21.0,0.423,Dat do bazan,4,low,0,
2020-06-29,2020-07-05,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31100,,0,interpolated_area,22.1,94.429,110.1,0.494,Dat do bazan,4,low,0,
2020-07-06,2020-07-12,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31200,,0,interpolated_area,24.214,86.429,37.3,0.449,Dat do bazan,4,low,0,
2020-07-13,2020-07-19,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31300,,0,interpolated_area,23.929,86.714,35.4,0.467,Dat do bazan,4,low,0,
2020-07-20,2020-07-26,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31400,,0,interpolated_area,23.729,85.857,24.9,0.463,Dat do bazan,4,low,0,
2020-07-27,2020-08-02,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31500,,0,interpolated_area,22.8,92.714,167.0,0.495,Dat do bazan,4,low,0,
2020-08-03,2020-08-09,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31600,,0,interpolated_area,22.7,93.714,84.6,0.503,Dat do bazan,4,low,0,
2020-08-10,2020-08-16,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.671,90.857,59.1,0.496,Dat do bazan,4,low,0,
2020-08-17,2020-08-23,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31800,,0,interpolated_area,22.671,90.429,28.7,0.486,Dat do bazan,4,low,0,
2020-08-24,2020-08-30,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,31900,,0,interpolated_area,23.529,89.429,20.0,0.471,Dat do bazan,4,low,0,
2020-08-31,2020-09-06,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32000,,0,interpolated_area,23.6,88.857,213.2,0.489,Dat do bazan,4,low,0,
2020-09-07,2020-09-13,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32100,,0,interpolated_area,23.629,88.143,53.1,0.49,Dat do bazan,4,low,0,
2020-09-14,2020-09-20,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32200,,0,interpolated_area,22.586,91.857,122.8,0.498,Dat do bazan,4,low,0,
2020-09-21,2020-09-27,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32300,,0,interpolated_area,23.214,88.143,38.6,0.49,Dat do bazan,4,low,0,
2020-09-28,2020-10-04,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32400,,0,interpolated_area,22.929,90.143,45.2,0.493,Dat do bazan,4,low,0,
2020-10-05,2020-10-11,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32500,,0,interpolated_area,22.271,91.0,206.0,0.503,Dat do bazan,4,low,0,
2020-10-12,2020-10-18,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32600,,0,interpolated_area,22.071,92.0,118.9,0.499,Dat do bazan,4,low,0,
2020-10-19,2020-10-25,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32700,,0,interpolated_area,22.114,85.857,49.2,0.475,Dat do bazan,4,low,0,
2020-10-26,2020-11-01,Gia Lai,Pleiku,Robusta / ca phe nhan xo noi dia,32800,,0,interpolated_area,21.729,86.286,136.9,0.466,Dat do bazan,4,low,0,
